Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C11, C16, C17, C19, C2, C20, C4, C5, C6, C7, C8, C9",0805,13,0.1u,C49678
"C10, C14",0603,2,10p,C1634
C18,0805,1,10u,C15850
D1,D_SMA,1,SS14,C2480
"D10, D11, D12, D13, D3, D7, D8, D9",0603,8,LED,C2290
"D2, D4, D5, D6",LED_3.0mm_2.54mm_lead_spacing_horizontal,4,HV-32H307B/260/XSYG,
J1,DIN41612_F_3x16_Male_Horizontal_THT,1,Top DIN,
J10,IDC-Header_2x05_P2.54mm_Vertical_SMD,1,Logic Analyzer SPI1,C2843214
J11,PinHeader_2x03_P2.00mm_Vertical_SMD,1,Ethernet Jack Socket,C3975167
J2,DIN41612_F_3x16_Male_Horizontal_THT,1,Lower DIN,
J3,RJ45_Cetus_J1B1211CCD_Horizontal,1,J1B1211CCD,C910371
J4,USB_Micro-Yuandi-G3P3-A1T2,1,USB_B_Micro,C2682512
J5,IDC-Header_2x05_P2.54mm_Vertical_SMD,1,Logic Analyzer SPI0,C2843214
J6,IDC-Header_2x05_P2.54mm_Vertical_SMD,1,Logic Analyzer D_In,C2843214
J7,IDC-Header_2x05_P2.54mm_Vertical_SMD,1,Logic Analyzer D_Out,C2843214
"J8, J9",PinHeader_1x24_P2.54mm_Vertical,2,Teensy socket,C7506622
"R1, R2, R3, R4",1206,4,75,C17888
"R10, R11, R12, R9",0603,4,470,C23179
"R5, R6, R7, R8",0805,4,100,C17408
"TP1, TP2",TestPoint_THTPad_4.0x4.0mm_Drill2.0mm,2,GND,
"U1, U2",TSSOP-16_4.4x5mm_P0.65mm,2,74LV165,C201716
"U3, U4",TSSOP-16_4.4x5mm_P0.65mm,2,74AHCT595,C554707
U5,SOT-353_SC-70-5,1,"74HC1G04GW,125",C10234
U6,SOP-16_3.9x9.9mm_P1.27mm,1,CH340G,C14267
U7,TSSOP-24_4.4x7.8mm_P0.65mm,1,SN74LVC8T245,C7859
Y1,Crystal_SMD_2520-4Pin_2.5x2.0mm,1,12 MHz,C963522
