Designator,Mid X,Mid Y,Rotation,Layer
C1,130.0,-88.25,180.0,top
C10,107.275,-86.0,180.0,top
C11,60.5,-105.5,90.0,top
C14,107.275,-81.0,180.0,top
C16,117.2,-74.25,0.0,top
C17,160.4,-101.95,270.0,top
C18,257.5,-32.5,180.0,top
C19,167.95,-71.5,90.0,top
C2,160.35,-107.65,90.0,top
C20,227.75,-168.5,0.0,top
C4,227.5,-96.75,180.0,top
C5,235.55,-168.5,180.0,top
C6,227.45,-83.82,180.0,top
C7,226.0,-48.82,270.0,top
C8,234.75,-51.07,0.0,top
C9,234.8,-38.82,0.0,top
D1,55.5,-106.5,180.0,top
D10,234.8625,-180.55,180.0,top
D11,234.8625,-185.87,180.0,top
D12,234.8625,-191.46,180.0,top
D13,234.8625,-197.05,180.0,top
D2,51.2,-34.785,0.0,top
D3,153.62,-153.9,0.0,top
D4,51.2,-39.785,0.0,top
D5,51.2,-44.785,0.0,top
D6,51.2,-49.785,0.0,top
D7,153.62,-149.31,0.0,top
D8,153.5825,-144.37,0.0,top
D9,153.62,-139.9,0.0,top
J1,269.974999,-69.33,270.0,top
J10,218.975,-125.42,270.0,top
J11,161.75,-93.90,0.0,top
J12,176.5,-78.18,90.0,top
J13,153.5,-77.9,90.0,top
J2,269.935,-202.87,270.0,top
J3,134.325,-100.52,0.0,top
J4,53.05,-113.9,270.0,top
J5,197.5,-125.5,270.0,top
J6,197.195,-45.895,90.0,top
J7,197.0,-87.0,90.0,top
J8,172.5,-78.05,90.0,top
J9,157.25,-78.03,90.0,top
R1,64.5375,-38.63,180.0,top
R10,227.325,-186.03,0.0,top
R11,227.325,-191.54,0.0,top
R12,227.325,-197.05,0.0,top
R2,64.5375,-41.92,180.0,top
R3,64.5375,-45.21,180.0,top
R4,64.5375,-48.5,180.0,top
R5,160.12,-153.9,180.0,top
R6,160.2075,-149.45,180.0,top
R7,160.2075,-144.5,180.0,top
R8,160.2075,-139.9,180.0,top
R9,227.325,-180.79,0.0,top
U1,231.025,-42.68,270.0,top
U2,231.025,-55.045,270.0,top
U3,231.25,-79.82,90.0,top
U4,231.3875,-92.725,90.0,top
U5,222.75,-48.82,180.0,top
U6,113.5,-80.555,270.0,top
U7,231.6625,-163.075,90.0,top
Y1,107.025,-83.5,180.0,top
